id,text,label
1,belgium also say trumps war besides spain country sound reluctant join stupid war italy germany france last three decide yet know consequence terrorist attack massive exodus middle eastern refugee europe,error
2,massive war price tag could massive problem top leader prospect balloon new spending bill top leader brace messy internal fight,error
3,write american soldier kill innocent woman child suppose oppose russia help iran fight evil shit planet yes evil shit planet russia ukraine four year genocidal war many people know trump trump help russia increase oil price waste american missile result also harm american,error
4,verdant square radio playing note bowie hawkins episode,error
5,one get away reckless stupid thing like attack iran without plan moment one discussing good bad thing today copy,error
